,hour,station,interval,mu,sigma,ks_statistic,ks_pvalue,n_samples
0,1,UIZ,0-25,1.4556731653760446,6.964686320461725,0.06250078837221229,7.464671466354636e-14,3949
1,1,UIZ,25-50,-3.716823135269121,10.164697623106392,0.017403965192427262,0.7789642122403075,1412
2,1,UIZ,50-100,-3.629811852112676,12.911900010060304,0.042948763317770144,0.01739797579800089,1278
3,1,UIZ,100-150,-4.896183333333336,5.287392839634882,0.2347479028686587,0.9848531077412069,3
4,1,UIZ,150-250,,,,,0
5,1,AJU,0-25,8.020970616455696,8.168649188823133,0.0852367623016913,6.13148712250302e-08,1185
6,1,AJU,25-50,-0.283684486381323,12.467573236159037,0.05525101246721437,1.4075937163391411e-06,2313
7,1,AJU,50-100,-16.22157792370892,16.45724809407112,0.025204567494165553,0.6417942380926648,852
8,1,AJU,100-150,,,,,0
9,1,AJU,150-250,,,,,0
10,1,ATI,0-25,2.355226667707688,6.951472024284625,0.05673271594001711,1.197188745285303e-09,3291
11,1,ATI,25-50,2.8082881541755884,8.640944070202046,0.020949216190835007,0.5629052071968326,1401
12,1,ATI,50-100,7.131670550974514,11.34342400024567,0.018153837090257308,0.7643561471634399,1334
13,1,ATI,100-150,20.36301987096774,16.49966223918924,0.09788183716348642,0.8997340609206551,31
14,1,ATI,150-250,,,,,0
15,1,CUA,0-25,-2.2059176062399577,8.421787082073408,0.013460304715174731,0.5037011096532142,3734
16,1,CUA,25-50,-3.14312993031937,9.207182636422786,0.016730602311541554,0.5042507609236826,2411
17,1,CUA,50-100,-0.020292920263788934,15.884784887848916,0.01577371191375665,0.7947319510555534,1668
18,1,CUA,100-150,-2.1305884999999996,22.956235418983738,0.14123055341089757,0.9062647984799147,14
19,1,CUA,150-250,,,,,0
20,1,SFE,0-25,2.9713224536130536,7.291346897625015,0.060926222648451434,1.6198170715602746e-11,3432
21,1,SFE,25-50,1.7159866077526533,9.618664335743066,0.020894680489309314,0.29634575197236346,2167
22,1,SFE,50-100,4.795144692585895,14.423758278087035,0.03556571134481773,0.029357828384916296,1659
23,1,SFE,100-150,7.8168087,16.326913994123583,0.1285436646281286,0.483761181161398,40
24,1,SFE,150-250,,,,,0
25,1,SAG,0-25,1.4413791156435003,7.578411695705562,0.046686006928967516,2.5184001985117387e-06,3108
26,1,SAG,25-50,-1.7089252799999999,8.626233191356539,0.06512468743005562,3.8158029328075887e-05,1275
27,1,SAG,50-100,-2.812779627027026,11.144734395244008,0.02701516602295162,0.38583454445149956,1110
28,1,SAG,100-150,,,,,0
29,1,SAG,150-250,,,,,0
30,1,CUT,0-25,4.224397846018267,6.725168620374396,0.07758669893585113,8.383561439090969e-23,4270
31,1,CUT,25-50,-1.5808719781496976,9.985757005800533,0.01616623520935484,0.6215607823435788,2151
32,1,CUT,50-100,-6.009268778152394,13.066554477920924,0.05509572703666038,0.00023598156891835152,1483
33,1,CUT,100-150,,,,,1
34,1,CUT,150-250,,,,,0
35,1,PED,0-25,-1.6443923466751362,8.164852082950093,0.0538457607844528,3.6848056720876377e-10,3857
36,1,PED,25-50,-3.4012809539842874,9.677976608236907,0.016621949629188754,0.7019324540385321,1782
37,1,PED,50-100,-0.9804820930865541,12.419082128090935,0.01813784588569345,0.5749363662503166,1837
38,1,PED,100-150,-1.364846633333333,16.0680098460045,0.05623019420983355,0.4185086893208383,240
39,1,PED,150-250,,,,,0
40,1,TAH,0-25,3.532297111883957,7.030472698384015,0.060365353052892035,1.6652910690615383e-09,2861
41,1,TAH,25-50,-3.2055990128960943,11.126344190695496,0.03376077143509132,0.004017053033643883,2714
42,1,TAH,50-100,-12.324831001112345,14.685659063460534,0.017125184468808174,0.6608121902481233,1798
43,1,TAH,100-150,,,,,0
44,1,TAH,150-250,,,,,0
45,1,GAM,0-25,4.531953388266464,8.38011896743224,0.06881574251427203,9.20036051959999e-17,3963
46,1,GAM,25-50,-3.376190050664043,10.729832252625256,0.014332316280553092,0.7922032388079456,2033
47,1,GAM,50-100,-7.376917828458943,13.997061041125809,0.02028658895702018,0.45124818518701704,1778
48,1,GAM,100-150,-6.320170418918919,19.52986264727902,0.08065441347072966,0.6909877727494971,74
49,1,GAM,150-250,,,,,0
50,1,IZT,0-25,1.7955614789549625,6.943700372517878,0.06965265660133968,9.689849417523274e-20,4574
51,1,IZT,25-50,-1.2345080265957447,9.504382807464914,0.01796543147820928,0.7096236483976921,1504
52,1,IZT,50-100,0.27297212331081044,12.05521468823354,0.01774946397035493,0.6239308868176184,1776
53,1,IZT,100-150,1.1084675714285719,12.020767656915227,0.048693242799686065,0.9935989720039279,70
54,1,IZT,150-250,,,,,0
55,1,CCA,0-25,1.730744537472166,7.38614351024681,0.03137402125034677,0.000817566862731942,3952
56,1,CCA,25-50,-0.8059511866145578,9.422440522020427,0.029326498805038237,0.05797512738728605,2047
57,1,CCA,50-100,-0.8109371794611083,12.543302098599165,0.020359025999987956,0.38357595584197723,1967
58,1,CCA,100-150,3.9668461833333337,13.904494114096936,0.10036641120153866,0.16645800256574722,120
59,1,CCA,150-250,,,,,0
60,1,HGM,0-25,0.9033002135701732,7.399132518803593,0.04588681771685377,1.0005018088616391e-07,3983
61,1,HGM,25-50,0.12779046545942307,8.665687507153715,0.025406653666678602,0.2860455521307531,1491
62,1,HGM,50-100,5.253747520434227,12.014697857313838,0.028091898289343886,0.16565200121034374,1566
63,1,HGM,100-150,15.49972566789668,13.264575450923601,0.057036624386027635,0.3287688407184277,271
64,1,HGM,150-250,,,,,0
65,1,LPR,0-25,4.150832607859958,7.834863024564374,0.08733763008269702,4.449979597457871e-28,4163
66,1,LPR,25-50,4.868594671273446,11.050274971246845,0.04144134451345438,0.001845080664892155,2026
67,1,LPR,50-100,5.9768060674087815,15.177142746589611,0.0366155616067631,0.02553278957832905,1617
68,1,LPR,100-150,-1.9726803650793656,19.990042249359472,0.059887097297773195,0.9674856334903259,63
69,1,LPR,150-250,,,,,0
70,1,MGH,0-25,2.5003721291493437,6.973624574954194,0.05428525085873126,5.996335262889176e-12,4493
71,1,MGH,25-50,-0.25443051902173935,9.449123862001299,0.013009829879431532,0.9103887080986763,1840
72,1,MGH,50-100,1.5032296158323635,12.627544943570578,0.01791150195287139,0.63325079931606,1718
73,1,MGH,100-150,8.122092818181818,14.437262328432562,0.07629219160150791,0.8090122941336234,66
74,1,MGH,150-250,,,,,0
75,1,CAM,0-25,-1.6684403606197025,7.443288672728655,0.10702502801202862,1.40817867223341e-26,2619
76,1,CAM,25-50,-3.813610484848484,11.70646059154645,0.018151430214544295,0.9523323601926725,792
77,1,CAM,50-100,-2.794028860746722,13.759301468589694,0.026238230805204932,0.49427872449361465,991
78,1,CAM,100-150,-11.277580356164382,21.23710615174617,0.0980003756268224,0.4560541760883946,73
79,1,CAM,150-250,,,,,0
80,1,FAC,0-25,-0.34427144692160405,7.681730426995752,0.055784624527990934,1.89937776041183e-12,4439
81,1,FAC,25-50,-3.103887225495447,9.901406731902947,0.03573213148570731,0.016589519036791525,1867
82,1,FAC,50-100,-2.873026735107731,12.495679428764182,0.033359101639257094,0.058332991322031735,1578
83,1,FAC,100-150,-3.265285647058824,17.559282988094335,0.1568840728639408,0.3368576699372723,34
84,1,FAC,150-250,,,,,0
85,1,TLA,0-25,-0.20394417184031402,6.37077458438614,0.06165603951559018,7.459596934028808e-17,4966
86,1,TLA,25-50,-2.8412922903822437,8.729435591886642,0.018223786008413234,0.6473290434256712,1622
87,1,TLA,50-100,0.4070684111445784,11.60319034364802,0.031030421076379378,0.15174916226836754,1328
88,1,TLA,100-150,8.63263625,9.877098722449684,0.18151959500719772,0.9148775985168389,8
89,1,TLA,150-250,,,,,0
90,1,MER,0-25,-1.862996073171042,6.986576142953432,0.07755067815164257,1.4855932479540089e-25,4800
91,1,MER,25-50,-3.8806826820550997,9.853580739694847,0.021498210474153456,0.5566472116732024,1343
92,1,MER,50-100,-0.21130908685015326,12.304783363650571,0.019811976665815245,0.535731239674164,1635
93,1,MER,100-150,-2.247642983606558,16.211926875143877,0.060276819699697004,0.7439596492749636,122
94,1,MER,150-250,,,,,0
95,1,XAL,0-25,0.5219264706426568,6.647770699866135,0.06890863630934463,1.3704288185017597e-19,4637
96,1,XAL,25-50,-0.8752941182058047,9.26500568931147,0.05147040018867993,8.385600873445271e-05,1895
97,1,XAL,50-100,0.4685680145406476,12.975787095335622,0.04881140541582668,0.0014275666417318204,1513
98,1,XAL,100-150,,,,,0
99,1,XAL,150-250,,,,,0
100,1,LLA,0-25,-0.24272683016086782,6.868797852879265,0.05413729833048975,2.6631175953208064e-12,4656
101,1,LLA,25-50,-3.0120402385730207,8.857480850123698,0.02929571558688082,0.0901711567563519,1794
102,1,LLA,50-100,0.6297974471279374,11.07669263445743,0.026330058527090194,0.23451661375699606,1532
103,1,LLA,100-150,9.280033464285712,11.985028974803239,0.11611071324128525,0.8034358852895025,28
104,1,LLA,150-250,,,,,0
105,1,TLI,0-25,0.8211408507609745,7.18984745934078,0.07039609842329725,2.6054038545142197e-18,4146
106,1,TLI,25-50,-3.896938795110594,9.667505425484551,0.01773312790816428,0.64571695094825,1718
107,1,TLI,50-100,-5.151994771351715,13.782263221218027,0.034986456990096726,0.051253134801794165,1487
108,1,TLI,100-150,-3.6039363194444434,20.275714026588627,0.138104596828293,0.11657892055862086,72
109,1,TLI,150-250,,,,,0
110,1,UAX,0-25,0.7167252408869593,7.7989712440292545,0.04420286746797902,1.3503138738571176e-06,3627
111,1,UAX,25-50,0.9692120661107804,9.886608568263604,0.03958249105009626,0.010096014022043142,1679
112,1,UAX,50-100,5.0174266671866885,16.156010144316312,0.01578993638317361,0.7175886741698029,1923
113,1,UAX,100-150,17.024319828571432,23.19814320416264,0.05811482928351719,0.7093663125648065,140
114,1,UAX,150-250,,,,,0
115,1,BJU,0-25,2.81441810125816,8.613419730790868,0.062222970300371605,8.728712682929393e-12,3370
116,1,BJU,25-50,0.7272222351804126,10.208300503759114,0.01985423605748904,0.5664947551565067,1552
117,1,BJU,50-100,1.2221739623880594,13.884134383965831,0.020165949944192463,0.49718542657827747,1675
118,1,BJU,100-150,5.175440840707964,12.963222360256957,0.03607404775245482,0.9974179799029165,113
119,1,BJU,150-250,,,,,0
120,1,MPA,0-25,,,,,0
121,1,MPA,25-50,4.480396929184549,10.112178614551006,0.03098210253214395,0.00010411796523801875,5126
122,1,MPA,50-100,-6.8599587542372875,13.391476620190996,0.019569566430710172,0.24646457321291515,2714
123,1,MPA,100-150,,,,,1
124,1,MPA,150-250,,,,,0
125,1,MON,0-25,2.9969400226316516,8.633426984678312,0.1031051636890416,7.565682543638258e-34,3608
126,1,MON,25-50,-1.466436266782912,10.436362825849491,0.009270076371855049,0.9882019661561015,2294
127,1,MON,50-100,-2.2219606828885397,11.658445497410188,0.022333792422555843,0.29191963077409866,1911
128,1,MON,100-150,,,,,0
129,1,MON,150-250,,,,,0
130,1,NEZ,0-25,0.16406101016556995,8.249490267272595,0.04259599885218096,1.9927818885408387e-06,3799
131,1,NEZ,25-50,-6.666734180851064,10.142064654804367,0.026629029107484326,0.1559703957339741,1786
132,1,NEZ,50-100,-9.205952317535544,13.509115149216061,0.02695397101414393,0.22935396947066544,1477
133,1,NEZ,100-150,-2.2856667142857146,14.815867856609307,0.22210914066612092,0.812795592813109,7
134,1,NEZ,150-250,,,,,0
135,1,INN,0-25,6.512779285714286,6.799836157397277,0.12775657967825937,0.23444543144885555,63
136,1,INN,25-50,3.614865373212259,10.167739745190365,0.03754941557733682,7.835079110592264e-06,4405
137,1,INN,50-100,-3.7252397432150315,13.346675070679488,0.02552411742759303,0.30129724277068803,1437
138,1,INN,100-150,,,,,0
139,1,INN,150-250,,,,,0
140,1,AJM,0-25,7.061331467555556,8.015794331717382,0.044813874387041486,0.02114171122443297,1125
141,1,AJM,25-50,3.484156597402597,9.650768328832251,0.03496091382647515,5.1532002729621725e-05,4312
142,1,AJM,50-100,1.3324057983558995,12.394154475139993,0.015851406438616156,0.6702011315048588,2068
143,1,AJM,100-150,7.557061644444446,15.291446282984262,0.0665982491939221,0.9805931498477873,45
144,1,AJM,150-250,,,,,0
145,1,VIF,0-25,1.119080675937965,6.783470240766896,0.05127986236394971,1.1926700699537268e-09,4030
146,1,VIF,25-50,-4.7940482399486735,9.769555302641097,0.04101306881847183,0.0007452652528311069,2338
147,1,VIF,50-100,-0.5682791775456921,13.592936525792425,0.03449296529395973,0.126896764876122,1149
